# Program:featureCounts v2.0.3; Command:"featureCounts" "-a" "../../../../local_scratch/ClINT/RawData/ref_genome.gff" "-o" ".//vartable_output/FO13679x01/fc_output.txt" "-t" "gene" "-g" "locus_tag" "../../test_dir/bams/20096b089_dedup_snc_trimmed_Q12SA024A7_20211014141226__2109SHr1024_12_S24_R1_001.bam" "../../test_dir/bams/20096b001_dedup_snc_trimmed_Q12SA022AP_20211014141226__2109SHr1022_10_S22_R1_001.bam" "../../test_dir/bams/20096b044_dedup_snc_trimmed_Q12SA023AX_20211014141226__2109SHr1023_11_S23_R1_001.bam" "-T" "10" 
Geneid	Chr	Start	End	Strand	Length	../../test_dir/bams/20096b089_dedup_snc_trimmed_Q12SA024A7_20211014141226__2109SHr1024_12_S24_R1_001.bam	../../test_dir/bams/20096b001_dedup_snc_trimmed_Q12SA022AP_20211014141226__2109SHr1022_10_S22_R1_001.bam	../../test_dir/bams/20096b044_dedup_snc_trimmed_Q12SA023AX_20211014141226__2109SHr1023_11_S23_R1_001.bam
ACCFDFCE_00159	1	190013	190591	+	579	30	28	74
ACCFDFCE_00160	1	190974	192071	+	1098	658	935	756
ACCFDFCE_00161	1	192084	193355	+	1272	1573	1766	1165
ACCFDFCE_00162	1	193358	194626	+	1269	1825	2198	1476
ACCFDFCE_00163	1	194628	195467	+	840	1310	1423	1104
ACCFDFCE_00164	1	195541	196617	+	1077	2527	2596	2189
ACCFDFCE_00165	1	196642	197682	+	1041	1581	1714	1408
ACCFDFCE_00166	1	197737	198705	+	969	2115	2593	1877
ACCFDFCE_00167	1	199066	199560	-	495	19	14	24
ACCFDFCE_00168	1	199793	201172	+	1380	3576	2206	984
ACCFDFCE_00169	1	201531	202289	-	759	608	468	782
ACCFDFCE_00170	1	202282	203838	-	1557	746	608	1155
ACCFDFCE_00171	1	203835	204803	-	969	249	269	398
ACCFDFCE_00172	1	205391	207640	+	2250	3139	2434	105603
ACCFDFCE_00173	1	207663	208418	+	756	584	465	41646
ACCFDFCE_00174	1	208754	210517	+	1764	132	222	274
ACCFDFCE_00175	1	210681	211025	-	345	8	21	6
ACCFDFCE_00176	1	211215	213125	+	1911	430	404	136
ACCFDFCE_00177	1	213729	214913	-	1185	37205	21839	2443
ACCFDFCE_00178	1	214943	217204	-	2262	60935	40288	5591
ACCFDFCE_00179	1	217390	218601	-	1212	34243	24895	3875
ACCFDFCE_00180	1	218713	220218	-	1506	41816	32658	5516
ACCFDFCE_00181	1	220244	221806	-	1563	52385	41626	7944
ACCFDFCE_00182	1	222175	223404	+	1230	602	880	1019
ACCFDFCE_00183	1	223718	225193	-	1476	600	555	2550
ACCFDFCE_00184	1	225391	225747	-	357	181	153	850
ACCFDFCE_00185	1	225904	226077	-	174	610	707	2205
ACCFDFCE_00186	1	226103	227248	-	1146	4642	4807	16887
ACCFDFCE_00187	1	227821	228774	+	954	17803	6365	4655
ACCFDFCE_00188	1	229094	230623	-	1530	464	3987	3379
ACCFDFCE_00189	1	230985	231920	+	936	674	410	695
ACCFDFCE_00190	1	232259	234355	+	2097	58	60	62
ACCFDFCE_00191	1	234340	234807	+	468	8	5	14
ACCFDFCE_00192	1	234830	235108	+	279	10	4	12
ACCFDFCE_00193	1	235335	236594	+	1260	50	26	64
ACCFDFCE_00194	1	236612	237667	+	1056	68	56	97
ACCFDFCE_00195	1	237669	237815	+	147	2	0	1
ACCFDFCE_00196	1	237839	238882	+	1044	229	162	206
ACCFDFCE_00197	1	239410	240126	+	717	5069	5256	5127
ACCFDFCE_00198	1	240119	241144	+	1026	4058	4854	4789
ACCFDFCE_00199	1	241166	242860	+	1695	8421	10299	9476
ACCFDFCE_00200	1	243288	244457	+	1170	304	250	333
ACCFDFCE_00201	1	244733	245449	+	717	1431	1874	1951
ACCFDFCE_00202	1	245442	246467	+	1026	4246	4433	4991
ACCFDFCE_00203	1	246489	248177	+	1689	6772	8175	9182
ACCFDFCE_00204	1	248210	249934	+	1725	7564	9606	10697
ACCFDFCE_00205	1	250074	250748	+	675	219	318	658
ACCFDFCE_00206	1	250995	252749	+	1755	1154	1622	2222
ACCFDFCE_00207	1	252752	253492	+	741	383	478	718
ACCFDFCE_00208	1	253611	254048	+	438	56	96	487
ACCFDFCE_00209	1	254041	254742	+	702	3412	6587	4807
ACCFDFCE_00210	1	254850	255554	-	705	790	2849	1810
ACCFDFCE_00211	1	255703	256494	+	792	344	362	650
ACCFDFCE_00212	1	256510	257946	+	1437	835	794	1233
ACCFDFCE_00213	1	257985	258183	-	199	293	272	415
ACCFDFCE_00214	1	258379	259140	-	762	262	298	371
ACCFDFCE_00215	1	259391	260305	-	915	1975	878	2633
ACCFDFCE_00216	1	260333	260737	-	405	1129	474	1347
ACCFDFCE_00217	1	260752	261633	-	882	895	497	1368
ACCFDFCE_00218	1	261865	262863	-	999	358	503	631
ACCFDFCE_00219	1	263243	263635	+	393	195	125	335
ACCFDFCE_00220	1	263724	263945	-	222	63	45	42
ACCFDFCE_00221	1	263863	264267	+	405	10	13	13
ACCFDFCE_00222	1	264308	265684	-	1377	65	73	116
ACCFDFCE_00223	1	265918	266910	+	993	450	454	640
ACCFDFCE_00224	1	267236	268186	+	951	747	652	919
ACCFDFCE_00225	1	268238	268897	-	660	1940	1168	1516
ACCFDFCE_00226	1	268911	269831	-	921	1383	925	1326
ACCFDFCE_00227	1	269828	270994	-	1167	1371	1138	1550
ACCFDFCE_00228	1	271062	272585	-	1524	19431	17714	17038
ACCFDFCE_00229	1	272856	273509	+	654	179	184	204
ACCFDFCE_00230	1	273543	274130	+	588	448	343	438
ACCFDFCE_00231	1	274273	275175	-	903	2967	1354	5391
ACCFDFCE_00232	1	275414	275707	+	294	96791	20918	49704
ACCFDFCE_00233	1	275791	278820	+	3030	11845	2815	9792
ACCFDFCE_00234	1	278820	279278	+	459	1780	337	1237
ACCFDFCE_00235	1	279250	279492	+	243	451	85	324
ACCFDFCE_00236	1	279505	280839	+	1335	3560	706	2539
ACCFDFCE_00237	1	280861	281016	+	156	383	89	247
ACCFDFCE_00238	1	281044	285300	+	4257	6833	1427	6208
ACCFDFCE_00239	1	285330	285722	+	393	151	41	242
ACCFDFCE_00240	1	285738	286052	+	315	186	45	221
ACCFDFCE_00241	1	286049	286726	+	678	357	119	529
ACCFDFCE_00242	1	286732	287043	+	312	130	34	169
ACCFDFCE_00243	1	287044	288897	+	1854	1613	1090	2190
ACCFDFCE_00244	1	288908	289399	+	492	2496	1978	3530
ACCFDFCE_00245	1	289607	290290	+	684	1193	678	1213
ACCFDFCE_00246	1	290437	291048	+	612	264	260	357
ACCFDFCE_00247	1	291184	291402	+	219	697	341	625
ACCFDFCE_00248	1	291534	292034	+	501	1729	998	1756
ACCFDFCE_00249	1	292045	292545	+	501	743	269	563
ACCFDFCE_00250	1	292556	292708	+	153	212	96	210
ACCFDFCE_00251	1	292752	293051	+	300	1863	1100	2205
ACCFDFCE_00252	1	293062	293553	+	492	757	287	604
ACCFDFCE_00253	1	293763	294446	+	684	1434	730	1342
ACCFDFCE_00254	1	295032	295532	+	501	958	594	1018
ACCFDFCE_00255	1	295544	296044	+	501	1054	591	1029
ACCFDFCE_00256	1	296055	296555	+	501	1219	624	1010
ACCFDFCE_00257	1	296566	297066	+	501	1904	1064	1873
ACCFDFCE_00258	1	297077	297577	+	501	1514	757	1348
ACCFDFCE_00259	1	297588	298088	+	501	1299	704	1382
ACCFDFCE_00260	1	298099	298587	+	489	894	516	1053
ACCFDFCE_00261	1	299210	299584	+	375	2676	1630	4244
ACCFDFCE_00262	1	299737	300135	+	399	8245	4601	9917
ACCFDFCE_00263	1	300351	301175	-	825	1656	1319	471
ACCFDFCE_00264	1	301412	302719	-	1308	267	246	555
ACCFDFCE_00265	1	303303	304193	+	891	3092	2899	6412
ACCFDFCE_00266	1	304442	305491	+	1050	562	551	442
ACCFDFCE_00267	1	305504	306181	+	678	609	622	487
ACCFDFCE_00268	1	306389	307420	+	1032	1232	3027	1282
ACCFDFCE_00269	1	307763	308881	+	1119	128	223	118
ACCFDFCE_00270	1	308856	309779	+	924	138	271	144
ACCFDFCE_00271	1	309790	311010	+	1221	210	335	197
ACCFDFCE_00272	1	311115	312647	-	1533	836	2794	4216
ACCFDFCE_00273	1	312687	313568	-	882	550	1587	2400
ACCFDFCE_00274	1	313726	314586	+	861	482	526	640
ACCFDFCE_00275	1	314864	315664	-	801	780	742	1429
ACCFDFCE_00276	1	315804	316472	+	669	278	470	810
ACCFDFCE_00277	1	316599	317960	-	1362	841	341	105
ACCFDFCE_00278	1	318330	320402	+	2073	27892	7954	3718
ACCFDFCE_00279	1	320644	321471	-	828	310	349	378
ACCFDFCE_00280	1	321544	322743	-	1200	134	89	129
ACCFDFCE_00281	1	323045	324046	+	1002	228	183	559
ACCFDFCE_00282	1	324080	324412	+	333	59	47	135
ACCFDFCE_00283	1	324413	325213	+	801	131	107	272
ACCFDFCE_00284	1	325203	326147	+	945	169	159	430
ACCFDFCE_00285	1	326125	327147	+	1023	163	152	439
ACCFDFCE_00286	1	327462	328487	+	1026	933	568	754
ACCFDFCE_00287	1	328580	329926	-	1347	33142	23153	9628
ACCFDFCE_00288	1	329941	330225	-	285	6954	5440	2175
ACCFDFCE_00289	1	330227	330670	-	444	7880	6988	2910
ACCFDFCE_00290	1	330675	332630	-	1956	26661	35908	13237
ACCFDFCE_00291	1	332842	333261	+	420	231	355	518
ACCFDFCE_00292	1	333368	334723	+	1356	54	57	43
ACCFDFCE_00293	1	334827	335267	+	441	42	51	42
ACCFDFCE_00294	1	335350	336708	-	1359	2456	3184	4457
ACCFDFCE_00295	1	337016	337942	+	927	1111	1130	1494
ACCFDFCE_00296	1	337956	339017	+	1062	1694	1766	2209
ACCFDFCE_00297	1	339031	339597	+	567	654	717	887
ACCFDFCE_00298	1	339657	340652	-	996	656	2576	1532
ACCFDFCE_00299	1	340778	341031	-	254	33	17	18
ACCFDFCE_00300	1	341071	341616	+	546	1572	1559	900
ACCFDFCE_00301	1	341884	342738	+	855	315	519	160
ACCFDFCE_00302	1	342735	343964	+	1230	328	667	285
ACCFDFCE_00303	1	343945	345657	+	1713	288	745	318
ACCFDFCE_00304	1	345750	346355	-	606	643	4318	1527
ACCFDFCE_00305	1	346468	346683	-	216	356	2048	844
ACCFDFCE_00306	1	346792	347181	-	390	174	108	452
ACCFDFCE_00307	1	347422	347625	+	204	202	148	135
ACCFDFCE_00308	1	347622	348335	+	714	734	812	665
ACCFDFCE_00309	1	348360	349202	+	843	1207	1490	1085
ACCFDFCE_00310	1	349202	349831	+	630	924	1180	732
ACCFDFCE_00311	1	350198	351331	-	1134	218	331	287
ACCFDFCE_00312	1	351870	353051	+	1182	1652	1692	2413
ACCFDFCE_00313	1	353134	353886	-	753	463	553	421
ACCFDFCE_00314	1	353929	356157	-	2229	871	946	415
ACCFDFCE_00315	1	356154	357995	-	1842	346	399	177
ACCFDFCE_00316	1	357964	359124	-	1161	147	194	78
ACCFDFCE_00317	1	359121	360224	-	1104	230	216	106
ACCFDFCE_00318	1	360290	360659	-	370	292	113	80
ACCFDFCE_00319	1	360888	361733	+	846	207	321	336
ACCFDFCE_00320	1	361890	362771	+	882	583	718	920
ACCFDFCE_00321	1	362801	363004	+	204	457	434	559
ACCFDFCE_00322	1	363016	364113	+	1098	1049	1526	1677
ACCFDFCE_00323	1	364199	364390	-	192	73	91	99
ACCFDFCE_00324	1	364634	364930	+	297	1829	1794	2488
ACCFDFCE_00325	1	364951	365454	+	504	2453	2717	3542
ACCFDFCE_00326	1	365506	365748	+	243	199	202	282
ACCFDFCE_00327	1	365908	366003	-	96	0	0	1
ACCFDFCE_00328	1	366014	366988	-	975	58	83	59
ACCFDFCE_00329	1	366991	367281	-	291	30	29	32
ACCFDFCE_00330	1	367898	368509	+	612	127	109	79
ACCFDFCE_00331	1	368878	369246	+	369	6	5	2
ACCFDFCE_00332	1	369427	369999	+	573	77	113	130
ACCFDFCE_00333	1	370137	370400	-	264	1109	2684	4452
ACCFDFCE_00334	1	370700	370951	+	252	119	199	165
ACCFDFCE_00335	1	371377	371958	+	582	255	320	216
ACCFDFCE_00336	1	372024	372410	-	387	1004	1063	841
ACCFDFCE_00337	1	372662	373288	-	627	4034	2838	3377
ACCFDFCE_00338	1	373361	373618	-	258	1127	534	642
ACCFDFCE_00339	1	373733	375256	-	1524	97286	96586	67692
ACCFDFCE_00340	1	375272	375841	-	570	66570	59717	41801
ACCFDFCE_00341	1	376333	377088	+	756	5010	6223	9394
ACCFDFCE_00342	1	377169	378557	-	1389	4329	2754	3554
ACCFDFCE_00343	1	379534	380490	-	957	3926	5161	8266
ACCFDFCE_00344	1	380608	381270	-	663	3500	3283	5132
ACCFDFCE_00345	1	381413	381820	-	408	5671	6130	9823
ACCFDFCE_00346	1	382000	382102	+	103	51	61	89
ACCFDFCE_00347	1	382333	382911	+	579	4258	7324	7927
ACCFDFCE_00348	1	382911	384179	+	1269	11575	17676	18683
ACCFDFCE_00349	1	384217	385683	+	1467	25160	39965	38657
ACCFDFCE_00350	1	385708	387249	+	1542	22402	35517	31782
ACCFDFCE_00351	1	387362	387898	-	537	268	170	183
ACCFDFCE_00352	1	388162	388259	-	98	13	15	10
ACCFDFCE_00353	1	388291	388995	-	705	80	67	86
ACCFDFCE_00354	1	389394	389666	-	273	19	51	39
ACCFDFCE_00355	1	389927	390079	-	153	78	108	100
ACCFDFCE_00356	1	390603	390962	-	360	898	1060	3361
ACCFDFCE_00357	1	390981	391826	-	846	1289	1569	5201
ACCFDFCE_00358	1	392298	392978	+	681	20	51	36
ACCFDFCE_00359	1	393264	393959	+	696	10	11	7
ACCFDFCE_00360	1	394250	395320	+	1071	18	13	9
ACCFDFCE_00361	1	395685	396611	+	927	12	22	6
ACCFDFCE_00362	1	396975	397679	+	705	13	11	17
ACCFDFCE_00363	1	398125	398820	+	696	12	18	17
ACCFDFCE_00364	1	399241	399936	+	696	41	47	56
ACCFDFCE_00365	1	400280	400978	+	699	19	29	27
ACCFDFCE_00366	1	401358	402056	+	699	17	27	24
ACCFDFCE_00367	1	402422	403105	+	684	28	30	39
ACCFDFCE_00368	1	403369	404925	+	1557	1395	2371	1962
ACCFDFCE_00369	1	404918	406129	+	1212	955	1590	1589
ACCFDFCE_00370	1	406512	407189	+	678	7	6	10
ACCFDFCE_00371	1	407211	408719	+	1509	105	74	118
ACCFDFCE_00372	1	408823	409131	-	309	9887	1672	1107
ACCFDFCE_00373	1	409469	410287	+	819	348	240	434
ACCFDFCE_00374	1	410306	411091	+	786	736	369	836
ACCFDFCE_00375	1	411271	412086	+	816	5625	2140	6464
ACCFDFCE_00376	1	412076	413404	+	1329	12049	4559	12809
ACCFDFCE_00377	1	413401	413724	+	324	3913	1378	3807
ACCFDFCE_00378	1	413743	414057	+	315	3095	1074	3243
ACCFDFCE_00379	1	414347	414541	-	195	288	309	268
ACCFDFCE_00380	1	414726	415928	+	1203	47	100	28
ACCFDFCE_00381	1	416522	416677	-	156	1196	269	172
ACCFDFCE_00382	1	417517	419001	+	1485	429	3638	2065
ACCFDFCE_00383	1	419014	421719	+	2706	2348	14468	9188
ACCFDFCE_00384	1	421881	422243	+	363	989	3656	2936
ACCFDFCE_00385	1	422926	423600	+	675	518	1070	1181
ACCFDFCE_00386	1	423637	424371	+	735	670	1261	1265
ACCFDFCE_00387	1	424549	424662	+	114	0	7	4
ACCFDFCE_00388	1	424827	426164	+	1338	69	82	58
ACCFDFCE_00389	1	426381	427295	+	915	66	81	239
ACCFDFCE_00390	1	427279	428421	+	1143	117	138	399
ACCFDFCE_00391	1	428715	429740	+	1026	93	117	86
ACCFDFCE_00392	1	429744	430403	+	660	58	66	42
ACCFDFCE_00393	1	430440	431282	+	843	179	247	163
ACCFDFCE_00394	1	431614	432618	+	1005	2063	1941	3996
ACCFDFCE_00395	1	432803	433072	-	270	93	136	145
ACCFDFCE_00396	1	433221	433616	+	396	354	486	322
ACCFDFCE_00397	1	433606	434091	+	486	916	1204	852
ACCFDFCE_00398	1	434260	435042	-	783	784	844	2118
ACCFDFCE_00399	1	435039	436151	-	1113	636	798	1652
ACCFDFCE_00400	1	436272	437156	-	885	207	292	277
ACCFDFCE_00401	1	437337	441836	+	4500	358	499	407
ACCFDFCE_00402	1	441854	443317	+	1464	140	210	232
ACCFDFCE_00403	1	443586	443678	+	93	9	12	7
ACCFDFCE_00404	1	444149	445576	+	1428	2298	10877	5184
ACCFDFCE_00405	1	445640	447280	+	1641	1062	3628	2023
ACCFDFCE_00406	1	447305	448033	+	729	599	1533	954
ACCFDFCE_00407	1	448095	448364	+	270	40992	44288	36583
ACCFDFCE_00408	1	448672	449196	+	525	283	507	471
ACCFDFCE_00409	1	449265	450962	+	1698	2896	3287	3521
ACCFDFCE_00410	1	451052	451369	+	318	3326	3916	4188
ACCFDFCE_00411	1	451376	451972	+	597	4411	5312	4884
